Species,Treatment,Flask,colony,frag,coral_code,Mortality_48h,Tissue_loss_48h,Ox_consumption_volh_dw,Surface,Volume,Branch_length,polyp_nb,tis_index
Paragorgia,3,1,20,3,Paragorgia_3_1,0,none,0.02195355961352734,0.00433948,9.18819e-6,0.051852,83,1.7720030085628327e-4
Paragorgia,3,2,27,2,Paragorgia_3_2,0,none,0.019240552275991522,0.00227557,4.36718e-6,0.085204,54,5.125557485564058e-5
Paragorgia,3,3,24,1,Paragorgia_3_3,0,none,NA,0.00434063,1.38927e-5,0.071117,77,1.953499163350535e-4
Paragorgia,3,4,22,1,Paragorgia_3_4,0,none,NA,0.00279477,7.02579e-6,0.097956,77,7.172393727796153e-5
Paragorgia,3,5,28,2,Paragorgia_3_5,0,none,0.01974914691306101,NA,NA,NA,NA,NA
Paragorgia,3,6,21,1,Paragorgia_3_6,0,none,NA,NA,NA,NA,NA,NA
Paragorgia,3,7,26,4,Paragorgia_3_7,0,none,0.02772208294795428,0.00355645,8.02731e-6,0.1044,71,7.688994252873562e-5
Paragorgia,3,8,17,2,Paragorgia_3_8,0,none,0.014652354745689142,0.00449417,1.13902e-5,0.108817,89,1.046729830816876e-4
Paragorgia,5,1,21,2,Paragorgia_5_1,0,none,0.01929277579448545,0.00321377,6.52462e-6,0.113106,54,5.768588757448765e-5
Paragorgia,5,2,22,2,Paragorgia_5_2,0,none,0.02080524809567588,0.00566558,1.69603e-5,0.133622,84,1.2692745206627652e-4
Paragorgia,5,3,27,3,Paragorgia_5_3,0,none,0.022595233225966103,0.00224708,4.15449e-6,0.087778,42,4.732951308984028e-5
Paragorgia,5,4,28,3,Paragorgia_5_4,0,none,0.026321443297432596,0.00320132,5.93422e-6,0.11264,50,5.268306107954546e-5
Paragorgia,5,5,26,3,Paragorgia_5_5,0,none,0.028570522872709413,0.00314367,6.88617e-6,0.069326,56,9.933026570117993e-5
Paragorgia,5,6,17,1,Paragorgia_5_6,0,none,NA,0.00522712,1.37141e-5,0.11789,118,1.1632962931546357e-4
Paragorgia,5,7,24,3,Paragorgia_5_7,0,none,NA,0.00426677,1.49105e-5,0.09159,74,1.6279615678567528e-4
Paragorgia,5,8,20,2,Paragorgia_5_8,0,none,0.02859024997537758,0.00502755,1.41171e-5,0.094451,104,1.494648018549301e-4
